,DistrictCode,SchoolCode,SchoolName,Longitude,Latitude,County,AllStudents,C_AllStudents,G_Female,GC_Female,G_Male,GC_Male,G_GenderX,GC_GenderX,R_Native,RC_Native,R_Asian,RC_Asian,R_Black,RC_Black,R_Hisp_Lat,RC_Hisp_Lat,R_HPI,RC_HPI,R_NA,RC_NA,R_TwoOrMore,RC_TwoOrMore,R_White,RC_White,L_ELL,LC_ELL,L_NoELL,LC_NoELL,I_LowIncome,IC_LowIncome,I_NoLowIncome,IC_NoLowIncome,D_Disability,DC_Disability,D_NoDisability,DC_NoDisability,A_9,AC_9,A_10,AC_10,A_11,AC_11,A_12,AC_12
438,38320,3204,Rosalia Elementary & Secondary School,-117.368633,47.23167,Whitman,49,0,28,0,21,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,44,0,0,0,49,0,31,0,18,0,8,0,41,0,13,0,10,0,13,0,13,0
439,38322,3068,St John/Endicott High,-117.58223100000001,47.088045,Whitman,66,3,34,0,32,3,0,0,2,0,0,0,1,0,6,1,0,0,0,0,2,0,55,2,0,0,66,3,39,3,27,0,5,0,61,3,15,0,15,0,19,2,17,1
440,38324,2432,Oakesdale High School,-117.24268000000001,47.12823,Whitman,49,0,24,0,25,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,42,0,0,0,49,0,19,0,30,0,4,0,45,0,11,0,13,0,11,0,14,0
441,39003,2591,Naches Valley High School,-120.99209599999999,46.805796,Yakima,405,0,201,0,198,0,6,0,3,0,2,0,1,0,103,0,0,0,0,0,11,0,285,0,29,0,376,0,227,0,178,0,42,0,363,0,98,0,103,0,111,0,93,0
442,39007,2116,Davis High School,-120.516403,46.595977000000005,Yakima,2645,258,1301,75,1342,183,2,0,23,0,12,2,15,2,2285,234,1,0,0,0,46,1,263,19,618,72,2027,186,2170,215,475,43,291,28,2354,230,730,131,678,64,609,31,628,32
443,39007,3206,Eisenhower High School,-120.566951,46.591681,Yakima,2293,237,1110,84,1179,153,4,0,31,0,12,2,16,0,1676,180,2,1,0,0,58,6,498,48,595,47,1698,190,1797,183,496,54,328,17,1965,220,628,100,566,69,521,39,578,29
444,39007,4092,Juvenile Detention Center,-120.532174,46.607690999999996,Yakima,99,0,11,0,88,0,0,0,4,0,2,0,5,0,63,0,0,0,0,0,2,0,23,0,3,0,96,0,85,0,14,0,8,0,91,0,19,0,32,0,28,0,20,0
445,39007,4093,Stanton Academy,-120.523045,46.617208000000005,Yakima,333,0,162,0,171,0,0,0,11,0,0,0,4,0,240,0,1,0,0,0,14,0,63,0,107,0,226,0,305,0,28,0,49,0,284,0,25,0,50,0,82,0,176,0
446,39090,2344,East Valley High School,-120.405345,46.575086999999996,Yakima,1049,26,481,3,567,23,1,0,11,0,5,0,6,0,524,8,0,0,0,0,25,0,478,18,85,0,964,26,667,16,382,10,107,0,942,26,293,2,260,3,258,8,238,13
447,39119,2388,Selah High School,-120.52820600000001,46.664063,Yakima,1144,90,574,13,565,77,5,0,4,0,7,1,6,1,407,27,1,0,0,0,39,2,680,59,83,7,1061,83,632,43,512,47,149,10,995,80,299,25,276,30,282,16,287,19
448,39119,4272,Selah Academy Online,-120.533828,46.653586,Yakima,107,0,61,0,45,0,1,0,2,0,0,0,0,0,36,0,0,0,0,0,1,0,68,0,4,0,103,0,66,0,41,0,16,0,91,0,22,0,24,0,26,0,35,0
449,39200,1776,Contract Learning Center,-119.9151,46.255286,Yakima,46,0,28,0,18,0,0,0,0,0,0,0,1,0,44,0,0,0,0,0,0,0,1,0,21,0,25,0,42,0,4,0,10,0,36,0,3,0,7,0,21,0,15,0
450,39200,2555,Grandview High School,-119.924374,46.251759,Yakima,1133,157,547,53,586,104,0,0,0,0,2,2,1,1,1061,150,1,0,0,0,3,0,65,4,285,24,848,133,961,137,172,20,163,16,970,141,314,67,312,37,259,35,248,18
451,39201,2959,Sunnyside High School,-120.011673,46.317412,Yakima,2283,111,1139,28,1144,83,0,0,1,0,1,0,3,0,2101,105,1,0,0,0,29,2,147,4,578,36,1705,75,1699,92,584,19,298,27,1985,84,616,31,565,4,546,20,556,56
452,39202,1508,Computer Academy Toppenish High School,-120.33090800000001,46.378982,Yakima,269,0,120,0,149,0,0,0,27,0,0,0,0,0,230,0,0,0,0,0,4,0,8,0,142,0,127,0,250,0,19,0,15,0,254,0,38,0,47,0,136,0,48,0
453,39202,2900,Toppenish High School,-120.33414499999999,46.381368,Yakima,954,52,476,12,478,40,0,0,71,5,1,0,4,0,848,43,0,0,0,0,8,0,22,4,303,20,651,32,847,46,107,6,121,7,833,45,268,0,244,18,238,16,204,18
454,39203,4559,Highland High School,-120.71229,46.66985,Yakima,395,25,189,10,206,15,0,0,5,0,0,0,4,0,304,22,0,0,0,0,3,0,79,3,77,5,318,20,330,19,65,6,42,2,353,23,92,0,96,6,105,12,102,7
455,39204,3314,Granger High School,-120.18910600000001,46.347688,Yakima,483,43,219,11,264,32,0,0,13,1,0,0,1,0,451,41,0,0,0,0,3,0,15,1,149,10,334,33,424,38,59,5,61,2,422,41,113,5,116,14,125,15,129,9
456,39205,2240,Zillah High School,-120.24546000000001,46.40028,Yakima,456,5,199,2,257,3,0,0,19,0,2,0,2,0,253,1,0,0,0,0,8,0,172,4,43,0,413,5,285,3,171,2,43,1,413,4,117,0,122,2,105,2,112,1
457,39207,3141,Wapato High School,-120.42133600000001,46.438249,Yakima,925,77,461,38,464,39,0,0,143,17,28,4,1,0,715,52,0,0,0,0,24,3,14,1,362,21,563,56,831,66,94,11,97,2,828,75,242,20,282,26,208,20,193,11
